data_sorteio,cd_sorteio,ganhadores,premio,dezenas_sorteadas
25/04/2018,2034,1,2777651.00,"[6, 7, 13, 17, 22, 56]"
20/04/2018,2033,1,9349630.00,"[10, 18, 33, 38, 40, 43]"
17/04/2018,2032,0,5308080.00,"[6, 14, 19, 20, 39, 53]"
14/04/2018,2031,0,3254601.00,"[18, 23, 37, 39, 50, 55]"
11/04/2018,2030,1,22122662.00,"[4, 27, 38, 40, 58, 59]"
7/04/2018,2029,0,17520439.00,"[6, 15, 18, 33, 37, 40]"
4/04/2018,2028,4,41004504.00,"[7, 11, 24, 36, 42, 58]"
31/03/2018,2027,0,35325592.00,"[11, 15, 29, 37, 39, 44]"
28/03/2018,2026,0,30731445.00,"[10, 23, 31, 33, 51, 52]"
24/03/2018,2025,0,25943257.00,"[4, 24, 46, 52, 55, 56]"
21/03/2018,2024,0,21284448.00,"[16, 20, 23, 29, 35, 47]"
17/03/2018,2023,2,59728710.00,"[1, 6, 7, 8, 23, 56]"
14/03/2018,2022,0,51892650.00,"[4, 28, 45, 48, 52, 60]"
10/03/2018,2021,0,45026259.00,"[7, 14, 32, 37, 40, 60]"
7/03/2018,2020,0,38499582.00,"[2, 36, 46, 48, 57, 60]"
3/03/2018,2019,0,32794593.00,"[23, 41, 46, 52, 54, 59]"
28/02/2018,2018,0,10505093.00,"[11, 22, 25, 27, 55, 59]"
24/02/2018,2017,0,6523761.00,"[2, 10, 11, 24, 38, 56]"
21/02/2018,2016,0,2826635.00,"[4, 11, 17, 18, 21, 48]"
17/02/2018,2015,1,104545829.00,"[17, 18, 27, 32, 39, 58]"
14/02/2018,2014,0,92190618.00,"[16, 32, 40, 46, 53, 56]"
10/02/2018,2013,0,67456226.00,"[6, 23, 30, 36, 53, 56]"
8/02/2018,2012,0,60116947.00,"[8, 11, 27, 35, 36, 51]"
6/02/2018,2011,0,53709650.00,"[2, 28, 32, 35, 54, 58]"
3/02/2018,2010,0,49094389.00,"[8, 10, 18, 34, 39, 56]"
31/01/2018,2009,0,42512967.00,"[1, 37, 44, 46, 48, 50]"
27/01/2018,2008,0,24056145.00,"[22, 27, 33, 42, 58, 59]"
24/01/2018,2007,0,19418008.00,"[4, 14, 39, 41, 54, 58]"
20/01/2018,2006,0,15294551.00,"[1, 9, 14, 20, 25, 54]"
17/01/2018,2005,0,11198253.00,"[11, 19, 22, 33, 34, 53]"
13/01/2018,2004,3,12286719.00,"[1, 5, 14, 23, 35, 45]"
10/01/2018,2003,0,8183091.00,"[28, 34, 40, 43, 50, 51]"
